x,y,RSSI,Timestamp
0.012122295796871185,-0.0352189801633358,-47,21:15:57.800974
-0.06269625574350357,-0.054034601897001266,-40,21:15:57.848874
0.0058187018148601055,-0.0916658416390419,-40,21:15:57.903027
0.10085750371217728,0.05122923478484154,-40,21:15:57.952455
0.04824673756957054,-0.1338803768157959,-24,21:15:58.005370
0.025941714644432068,-0.05910034477710724,-56,21:15:58.059053
0.022062579169869423,0.09663144499063492,-62,21:15:58.113816
0.027153942734003067,0.1068287342786789,-72,21:15:58.163198
0.03515465557575226,0.10949944704771042,-50,21:15:58.206365
0.028366170823574066,0.0776936262845993,-64,21:15:58.251033
-0.04245573282241821,0.11022783070802689,-51,21:15:58.300132
-0.041468389332294464,-0.013026198372244835,-38,21:15:58.344542
-0.15180392563343048,0.08424901962280273,-53,21:15:58.387585
-0.13082289695739746,-0.10372713953256607,-44,21:15:58.430361
0.013576971367001534,0.0029135108925402164,-44,21:15:58.484427
-0.06195574998855591,-0.09528422355651855,-44,21:15:58.535585
-0.07232284545898438,-0.019298071041703224,-44,21:15:58.581825
0.020365456119179726,0.1381489783525467,-65,21:15:58.694517
-0.058746885508298874,0.1179971918463707,-22,21:15:58.745507
-0.03406331688165665,0.10051612555980682,-69,21:15:58.825393
-0.025177236646413803,0.06603957712650299,,21:15:58.897572
-0.09453805536031723,-0.10396835952997208,,21:15:58.985620
0.07612801343202591,-0.16113890707492828,,21:15:59.070966
0.022789916023612022,0.014810346998274326,,21:15:59.139428
0.022547468543052673,0.061426520347595215,-55,21:15:59.186644
-0.011107604019343853,0.06895309686660767,-36,21:15:59.230181
-0.10737350583076477,0.09080442786216736,-35,21:15:59.281280
-0.04615826532244682,0.025978805497288704,-60,21:15:59.332519
-0.019500017166137695,-0.09914384037256241,-50,21:15:59.381407
-0.20512041449546814,-0.2942955791950226,-61,21:15:59.486081
-0.09947476536035538,-0.14594165980815887,,21:15:59.565245
0.053338102996349335,-0.020986653864383698,,21:15:59.637845
-0.10367096960544586,0.028892317786812782,,21:15:59.705207
-0.03677850961685181,0.05317157506942749,,21:15:59.780613
-0.029867112636566162,0.019423406571149826,-64,21:15:59.853006
-0.0014810138382017612,-0.015920909121632576,,21:15:59.923722
-0.03455699235200882,-0.12423133850097656,,21:15:59.994624
0.02569926716387272,0.09177558869123459,,21:16:00.065485
0.03879134729504585,-0.04703905060887337,,21:16:00.141518
0.02497193031013012,0.11581206321716309,-67,21:16:00.215257
0.2744487524032593,0.02136574685573578,,21:16:00.285830
0.21359485387802124,-0.014473553746938705,,21:16:00.363568
0.0797647088766098,-0.0016885813092812896,,21:16:00.434965
0.10497908294200897,-0.03642510995268822,,21:16:00.512331
-0.0034556991886347532,-0.3517073690891266,,21:16:00.585890
0.07273378223180771,-0.1343628168106079,-70,21:16:00.664552
0.007758269552141428,-0.15631437301635742,,21:16:00.737003
0.03127552196383476,-0.12399011105298996,,21:16:00.811075
0.10255462676286697,-0.08828867971897125,,21:16:00.881304
0.0807344913482666,0.0033990959636867046,-72,21:16:00.926936
-0.003208863316103816,-0.05692931264638901,-58,21:16:00.989273
-0.07676588743925095,0.06288327276706696,-22,21:16:01.054970
-0.08861400187015533,0.025978805497288704,-58,21:16:01.124491
-0.05257599055767059,0.031077450141310692,-22,21:16:01.199248
-0.13477225601673126,0.07623686641454697,-60,21:16:01.264039
0.00654603959992528,0.07623686641454697,-22,21:16:01.331582
-0.15032291412353516,0.15417328476905823,-54,21:16:01.420154
-0.05257599055767059,0.1845223605632782,-54,21:16:01.496147
-0.05775953829288483,0.13377870619297028,-54,21:16:01.559235
-0.09848742187023163,-0.002171033062040806,-52,21:16:01.628554
-0.15797480940818787,0.01845223642885685,-52,21:16:01.704681
-0.0446772500872612,-0.0984201654791832,-48,21:16:01.773387
-0.013575960882008076,-0.05861789360642433,-48,21:16:01.841132
-0.015303810127079487,0.04661617428064346,-24,21:16:01.920973
-0.16784822940826416,-0.04631537199020386,-20,21:16:01.992949
-0.16932925581932068,-0.1194068193435669,-83,21:16:02.056570
-0.16217102110385895,-0.056688085198402405,-80,21:16:02.124075
-0.13501910865306854,-0.08660009503364563,-55,21:16:02.190763
-0.24905717372894287,-0.27282649278640747,-37,21:16:02.253636
-0.141930490732193,0.02694997750222683,-36,21:16:02.320657
-0.17994318902492523,0.05268598720431328,-39,21:16:02.384908
-0.04245573282241821,0.10610035806894302,-49,21:16:02.450829
-0.0029620276764035225,-0.0004824517818633467,-54,21:16:02.526538
0.04267048090696335,0.033748168498277664,-54,21:16:02.597950
0.12316253036260605,-0.05837666615843773,-54,21:16:02.665753
-0.11008869856595993,0.054385535418987274,-56,21:16:02.796494
-0.08713298290967941,-0.10227978229522705,,21:16:02.886063
-0.03184179589152336,0.07745083421468735,,21:16:02.958848
0.05964169651269913,0.062640480697155,,21:16:03.034236
0.053822994232177734,0.08789090812206268,,21:16:03.107703
-0.055044349282979965,0.04952968657016754,,21:16:03.247795
-0.007158233784139156,0.022336916998028755,-56,21:16:03.319595
-0.09157602488994598,-0.15583191812038422,,21:16:03.393867
-0.044924091547727585,0.03180582821369171,,21:16:03.464844
0.028851065784692764,0.07502290606498718,,21:16:03.541602
-0.023943057283759117,0.062154900282621384,,21:16:03.619103
-0.0602278970181942,0.11386971920728683,-38,21:16:03.671547
-0.013329125009477139,0.05729904770851135,-42,21:16:03.725885
-0.014069631695747375,0.031563032418489456,-38,21:16:03.771544
-0.01184811070561409,-0.13532774150371552,-56,21:16:03.845970
0.09697836637496948,0.025250427424907684,,21:16:03.916631
