x,y,RSSI,Timestamp
x,y,RSSI
-0.006664562504738569,0.041517529636621475,-48
x,y,RSSI
0.03976112976670265,0.14227645099163055,-38
x,y,RSSI
0.055035222321748734,0.12649492919445038,-38
x,y,RSSI
0.06521795690059662,-0.031118139624595642,-42
x,y,RSSI
0.18571357429027557,0.09978774189949036,-40
x,y,RSSI
0.12461719661951065,0.1218818724155426,-40
x,y,RSSI
-0.10391780734062195,-0.08949480205774307,-34
x,y,RSSI
-0.11132287234067917,-0.08418784290552139,-34
x,y,RSSI
-0.11477857828140259,-0.05837666615843773,-32
x,y,RSSI
-0.13255074620246887,0.07817921042442322,-28
