RSSI,Timestamp
-62,15:17:56.316729
-54,15:17:56.342732
-54,15:17:56.359207
-54,15:17:56.388867
-78,15:17:56.394634
-50,15:17:56.407002
-62,15:17:56.426574
-60,15:17:56.441135
-50,15:17:56.452009
-44,15:17:56.476480
-44,15:17:56.516821
-44,15:17:56.550298
-48,15:17:56.578083
-48,15:17:56.593717
-60,15:17:56.635235
-50,15:17:56.654845
-40,15:17:56.723449
-50,15:17:56.748068
-44,15:17:56.793551
-50,15:17:56.809550
-44,15:17:56.839121
-48,15:17:56.854589
-54,15:17:56.870255
-50,15:17:56.892108
-58,15:17:56.909398
-63,15:17:56.934230
-64,15:17:56.957854
-60,15:17:56.978563
-58,15:17:56.999526
-60,15:17:57.014987
-62,15:17:57.037134
-52,15:17:57.071112
-58,15:17:57.096551
-46,15:17:57.109629
-44,15:17:57.152773
-52,15:17:57.170472
-52,15:17:57.197535
-44,15:17:57.243897
-44,15:17:57.274519
-50,15:17:57.290780
-48,15:17:57.333931
-48,15:17:57.383735
-50,15:17:57.420719
-56,15:17:57.444143
-61,15:17:57.456477
-59,15:17:57.469389
-57,15:17:57.483165
-50,15:17:57.506854
-60,15:17:57.526409
-61,15:17:57.548128
-40,15:17:57.611814
-42,15:17:57.647678
-42,15:17:57.674795
-50,15:17:57.688775
-64,15:17:57.736505
-66,15:17:57.779551
-58,15:17:57.837911
-46,15:17:57.860164
-42,15:17:57.923499
-42,15:17:57.991753
-42,15:17:58.027771
-62,15:17:58.067642
-64,15:17:58.080419
-54,15:17:58.136565
-58,15:17:58.194358
-54,15:17:58.235482
-42,15:17:58.283402
-42,15:17:58.342724
-42,15:17:58.367494
-44,15:17:58.380070
-62,15:17:58.404633
-44,15:17:58.425074
-42,15:17:58.462396
-54,15:17:58.516732
-54,15:17:58.553890
-48,15:17:58.571562
-40,15:17:58.610143
-40,15:17:58.651836
-42,15:17:58.695635
-54,15:17:58.716714
-42,15:17:58.731662
-54,15:17:58.750422
-50,15:17:58.759401
-44,15:17:58.780782
-42,15:17:58.800100
-44,15:17:58.812035
-42,15:17:58.818523
-83,15:17:58.824370
-85,15:17:58.829086
-78,15:17:58.833873
-82,15:17:58.838375
-81,15:17:58.843027
-85,15:17:58.847791
-78,15:17:58.852252
-41,15:17:58.856721
-50,15:17:58.875740
-50,15:17:58.890088
-48,15:17:58.902014
-46,15:17:58.919098
-46,15:17:58.935638
-44,15:17:58.945347
-39,15:17:58.950954
-50,15:17:58.964886
-54,15:17:58.980918
-50,15:17:58.990317
-50,15:17:59.004813
-54,15:17:59.015690
-61,15:17:59.068058
,15:17:59.119151
-42,15:17:59.138530
-42,15:17:59.154433
-42,15:17:59.164179
-56,15:17:59.216246
,15:17:59.261487
,15:17:59.302076
