x,y,RSSI,Timestamp
0.029578402638435364,0.192291721701622,-38,21:11:03.834269
0.06255104392766953,0.2539610266685486,-42,21:11:03.879335
0.11564670503139496,0.17019759118556976,-36,21:11:03.926279
0.18692579865455627,0.2566317319869995,-18,21:11:03.976557
0.09334167838096619,0.1381489783525467,-37,21:11:04.019192
0.044852495193481445,0.05487111955881119,-24,21:11:04.061501
0.15080136060714722,0.09517469257116318,-46,21:11:04.111546
-0.026905084028840065,0.037875641137361526,-48,21:11:04.160231
0.055035222321748734,0.099544957280159,-48,21:11:04.202381
0.07200643420219421,0.199089914560318,-38,21:11:04.251431
0.05527766793966293,0.24522049725055695,-38,21:11:04.300206
0.06885464489459991,0.22458313405513763,-36,21:11:04.346458
0.022547468543052673,0.173353910446167,-22,21:11:04.400299
0.006061147898435593,0.12843728065490723,-38,21:11:04.439649
0.061823710799217224,0.16509895026683807,-46,21:11:04.482524
0.008000715635716915,0.1124129593372345,-36,21:11:04.524443
-0.0834304466843605,0.029377900063991547,-41,21:11:04.574580
0.01697121374309063,-0.09070093929767609,-38,21:11:04.617427
0.006061147898435593,0.09468910843133926,-47,21:11:04.660159
-0.020487360656261444,0.0014567554462701082,-78,21:11:04.703553
-0.0794810801744461,0.11532647162675858,-57,21:11:04.755656
-0.023449387401342392,0.1570867896080017,-37,21:11:04.818614
-0.007158233784139156,0.1862218976020813,-39,21:11:04.888730
-0.026658250018954277,0.18937821686267853,-57,21:11:04.955185
0.11370714008808136,0.08473461121320724,-50,21:11:05.083044
0.027881281450390816,-0.02967078611254692,,21:11:05.170947
0.07127910107374191,0.1716543585062027,,21:11:05.246012
0.10813087970018387,0.01068287342786789,,21:11:05.316748
0.028123727068305016,0.1364494264125824,,21:11:05.390956
0.03394242748618126,0.2046741396188736,,21:11:05.462975
0.054792776703834534,0.18889263272285461,-50,21:11:05.536475
0.03515465557575226,0.17189714312553406,,21:11:05.606887
-0.03184179589152336,0.15902912616729736,,21:11:05.677604
0.0855834111571312,0.021851330995559692,,21:11:05.753146
0.03466976806521416,0.021608538925647736,,21:11:05.822801
-0.10515198111534119,0.1286800652742386,,21:11:05.919678
-0.023943057283759117,0.1553872525691986,-46,21:11:05.982052
-0.012094946578145027,0.18719308078289032,-50,21:11:06.055708
0.01745610684156418,0.21997007727622986,-46,21:11:06.129476
0.11152512580156326,0.17578181624412537,-52,21:11:06.233062
