x,y,RSSI
-0.02152406722307205,-0.025142455846071242,-50
-0.038274111598730086,-0.042833280935883525,
-0.05009024925529957,-0.05146523686125874,
-0.05798169793561101,-0.06061106016859412,
-0.07087942278012634,-0.066946183424443,
-0.04890249883756041,-0.04071960998699069,
-0.02734550831373781,-0.023678874759934843,-46
-0.011985146044753491,-0.00934763706754893,-46
0.002914792229421437,0.00600546037312597,-46
0.020880295685492455,0.01735980368684977,-62
0.024792054737918078,0.019986328622326254,-48
0.02013179617933929,0.0215099171269685,-60
0.01472821799106896,0.013829885493032634,-48
0.0025054317666217685,-3.041678573936224e-05,-60
-0.0117704396834597,-0.015970433386974035,-60
-0.03552231553476304,-0.03996087196283042,-46
-0.06219374022912234,-0.06760033366736025,-62
-0.09312314128037542,-0.1008688423782587,-46
-0.12454037964344025,-0.13030567914247512,-60
-0.14908987060189247,-0.15321483388543128,-46
-0.1654578812420368,-0.17168150879442692,-46
-0.17422391660511494,-0.17398269064724445,-44
-0.16408458091318606,-0.16338502652943135,-54
-0.15111729688942432,-0.15181685127317907,-60
-0.14300482012331486,-0.15183368660509586,-50
-0.14183684326708318,-0.1487841498106718,-54
-0.14194680117070674,-0.14947304874658585,-50
-0.14695532321929933,-0.15083905979990958,-54
-0.14444601610302926,-0.14234735071659088,-44
-0.1344486102461815,-0.12192898727953434,-56
-0.11096948422491551,-0.09403542624786496,-44
-0.08211326496675611,-0.0685961551964283,-56
-0.0571182981133461,-0.045047289691865444,-44
-0.03724728301167488,-0.03124075848609209,-56
-0.02418125867843628,-0.020032173302024604,-58
-0.014132801163941621,-0.012851953855715692,-54
-0.007693088916130364,-0.00839718736242503,-58
-0.0048180703772231935,-0.004186809691600501,-44
-0.0006702292012050748,0.0013664084253832698,-58
0.005647402699105441,0.006836616317741573,-58
0.010587842273525893,0.004337741667404771,-50
0.007910037226974965,0.006507010338827968,-44
0.010975038586184382,0.008259521750733256,-44
0.011993188969790935,0.010584992018993943,-52
0.011069883813615889,0.009928915374621284,-44
0.009128843717917334,0.014049851898744237,-44
0.012958845314278733,0.011222018957778346,-44
0.008094466761394869,0.005778698161884676,-42
9.464290633331984e-06,-0.0034895645760116166,-44
-0.012920643792313058,-0.011973909381777049,-44
-0.023835830856114626,-0.02172980224713683,-44
-0.03707122942432761,-0.03492431903723627,-44
-0.05514772126916796,-0.06267396921757609,-44
-0.0773360061692074,-0.08980738513637335,-60
-0.10733271681237966,-0.12176397929433733,-44
-0.13203234265092761,-0.14224356163758783,-44
-0.1462422986747697,-0.14537075208500028,-42
-0.14527201848104596,-0.13089354084804655,-44
-0.13580557154491543,-0.11522210473194719,-44
-0.11578982705250382,-0.09776523457840085,-44
-0.10837916629388929,-0.09158826814964413,-58
-0.10343637811020016,-0.09736656323075295,-44
-0.09608301892876625,-0.09222261682152748,-60
-0.08824856206774712,-0.08742306753993034,-44
-0.07021862268447876,-0.07651963606476783,-54
-0.05297151580452919,-0.06298396605998277,-44
-0.04390357080847025,-0.04708415400236845,-54
-0.04429490994662046,-0.048883689753711226,-44
-0.04184887390583754,-0.04095054063946009,-50
-0.04201193321496248,-0.0348854249343276,-50
-0.03273795489221811,-0.02830973416566849,-50
-0.020164158195257187,-0.02157235536724329,-80
-0.005787165556102991,-0.010560152493417263,-46
0.0016407541930675506,-0.0064583348110318186,-46
0.003492315299808979,-0.0012906984891742467,-46
0.006194330612197518,0.004421944799833,-80
0.006125110876746475,0.010301143233664333,-46
0.009816251404117793,0.020391980733256786,-46
0.012658799055498094,0.023185813229065388,-50
0.013901619042735546,0.02300634061684832,-62
0.010436497011687607,0.014272619516123086,-56
-0.002833090105559677,-0.011195020319428295,-54
-0.04515609312802553,-0.06253439281135798,-44
-0.08637871462851762,-0.09220573659986257,-44
-0.11326081808656455,-0.1232858014293015,-46
-0.14246493028476834,-0.15134502397850155,-77
-0.15949060367420315,-0.16578659927472472,-46
-0.15342013454064726,-0.15281706964597105,-42
-0.14067275738343596,-0.15217531947419047,-40
-0.13546454561874272,-0.1450412143021822,-44
-0.1237886656075716,-0.1300364166498184,-44
-0.11219019666314126,-0.11491604968905449,-42
-0.09766223728656769,-0.10111176744103431,-38
-0.0876592244952917,-0.08635660521686077,-54
-0.07700153384357691,-0.07615724224597216,-54
-0.07699648309499026,-0.07055575121194124,-54
-0.06635954547673464,-0.05589034152217209,-64
-0.05216312319971621,-0.033783581713214515,-64
-0.03148801024071872,-0.021943607134744525,-54
-0.023227152740582825,-0.01533906632103026,-44
-0.012130203330889345,-0.0020348931197077037,-54
-0.0029481849167495968,0.0010528791695833205,-44
-0.002797756902873516,-0.00947455265559256,-64
-0.012115693977102637,-0.020068006357178092,-54
-0.01826610597781837,-0.024779204884544014,-44
-0.019891859078779817,-0.029263491788879038,-54
-0.022130617359653115,-0.03660088540054858,-44
-0.02898487509228289,-0.03706923220306635,-54
-0.02795488592237234,-0.028075498528778553,-44
-0.01813805215060711,-0.01396484449505806,-54
-0.006652297452092171,-0.006169845536351204,-44
-0.0048606377094984055,0.004305946454405784,-40
0.00178450895473361,0.009286633878946304,-42
0.004825628967955709,0.008974714251235128,-42
0.0012341050431132316,0.0006069177761673927,-46
-0.00838411170989275,-0.011809519492089748,-64
-0.018449701368808746,-0.026024194806814192,-54
-0.03166180616244674,-0.042203377559781076,-46
-0.050583937065675856,-0.05029446599073708,-54
-0.056786243431270124,-0.044455204717814924,-46
-0.049465967901051046,-0.025910084135830402,-54
-0.03415439538657665,-0.007097132876515389,-46
-0.016748406738042832,0.009525654464960098,-54
0.0046876750886440275,0.021797031909227372,-46
0.02184639945626259,0.022429101169109344,-54
0.01786264181137085,0.007252607122063636,-46
0.01046147160232067,0.0032262537628412248,-44
0.006015497073531151,0.00028559155762195585,-44
0.00028559155762195585,-0.011271335557103157,-56
-0.00021586865186691285,0.0006824642419815064,-42
0.013868417032063008,0.020350979082286356,-42
0.02962639331817627,0.03241850808262825,-42
0.04598491191864014,0.048995540291070935,-79
0.06272321557626129,0.07097816308960318,-46
0.06770514324307442,0.07020590603351592,-46
0.07052108580246567,0.06891865441575647,-46
0.06923383409157395,0.06801987076178193,-46
0.07058979766443371,0.0683318261988461,-46
0.06750751012004912,0.0699597152415663,-50
0.07604510760866105,0.0812165906187147,-46
0.09009011113084853,0.09611136713065208,-46
0.10377265815623105,0.1144312531221658,-46
0.11911045876331627,0.13120152917690575,-46
0.1392992228269577,0.14643732458353043,-46
0.14505538269877433,0.15289758071303367,-46
0.14601211659610272,0.1527617510408163,-44
0.1432578710722737,0.13468729386804626,-44
0.11636479775188491,0.09446490722475573,-50
0.0779315801220946,0.05850817410973832,
0.04617037697462365,0.019569712493103,
-9.099991293624044e-05,-0.031025586288888008,
-0.04427802730351686,-0.05219306629151106,
-0.05478484164923429,-0.04869074765592814,
-0.046321125514805314,-0.049885319592431185,-50
-0.0475650638807565,-0.05386105966754258,
-0.03981611081399024,-0.045967371994629504,
-0.03762432658113539,-0.05146067501045763,-76
-0.039468412799760696,-0.04901767722330987,-46
-0.042006126837804914,-0.04579337351024151,-54
-0.04164653476327658,-0.039547869376838206,-75
-0.04060926251113415,-0.0315874133259058,-54
-0.03074817210435867,-0.024186827521771193,-54
-0.023629201902076603,-0.020271148532629013,-76
-0.020246903970837594,-0.013963750377297402,-42
-0.01102664303034544,-0.006998170912265777,-54
-3.0079111456871033e-05,0.004191687432467006,-54
0.011898530376493,0.014609033809392713,-44
0.019482196457101964,0.01914228686073329,-38
0.026245951940654776,0.024716358640580437,-34
0.028013623142032883,0.030892358170240185,-38
0.027108446051715872,0.03072605561465025,-54
0.02745303590781987,0.02718596407212317,-54
0.021658197429496796,0.021706755936611442,-80
0.00966539877699688,0.011486343119759112,-46
0.007170805905479938,0.0066852207877673205,-54
0.011851074418518692,0.008767608518246562,-46
0.009785881370771677,0.01143687079893425,-42
0.007785898027941584,0.010359499277547002,-42
0.00905127045698464,0.011115007335320115,-42
-0.0021088996436446905,-0.004574417229741811,-42
-0.025167499016970397,-0.02528889528475702,-46
-0.044835307216271755,-0.04265017374418676,-46
-0.05193119361065328,-0.054626191151328385,-58
-0.05430530470330268,-0.060700145293958487,-58
-0.053936848719604316,-0.053912725974805654,-48
-0.048827911843545735,-0.046934129833243785,-42
-0.03915880674030632,-0.03787200616206974,-40
-0.03241693840827793,-0.025133161433041097,-54
-0.024787591584026814,-0.019849506579339503,-54
-0.019676721654832363,-0.018856553733348845,-40
-0.014339461177587508,-0.017490594554692505,-38
-0.00996210714802146,-0.01506075132638216,-46
-0.009581000357866288,-0.012008925899863243,-46
-0.01536589115858078,-0.010218688286840916,
-0.010292739234864711,-0.002188950777053833,-81
0.0034389021806418897,0.013315390422940254,-66
0.016806409554556014,0.030111442459747194,-67
0.03436336345039308,0.04322529151104391,
0.05465891412459314,0.06252539432607591,-36
0.07366345538757742,0.07640701173804701,-36
0.08244918272830545,0.08711079941131175,-36
0.08601408612448722,0.08176521596033126,-64
0.07980140398722142,0.06885145965497941,-54
0.06725131690036505,0.05552443421911448,-54
0.05123314138036221,0.04861098180990666,-46
0.04049539144616574,0.024172214861027896,-44
0.019161451188847423,0.0065520612057298425,-38
-0.0042271938174963,-0.010326296463608742,-38
-0.024676868878304958,-0.033724097348749635,-46
-0.048494290187954904,-0.059783044084906575,-46
-0.06903938092291355,-0.06913587134331464,-42
-0.07069093603640794,-0.0690747226588428,-38
-0.06282978123053909,-0.06598984068259597,-38
-0.053845526184886694,-0.05230168020352721,-46
-0.03745875367894769,-0.03921970287337899,-46
-0.025702665839344264,-0.026426343340426685,-80
-0.023809885326772928,-0.025136627629399298,-42
-0.026889160647988318,-0.027974676340818405,-36
-0.029776576533913614,-0.034721707180142405,-36
-0.03840766195207834,-0.04115763772279024,-36
-0.043641121312975886,-0.04716301932930946,-42
-0.04286851805372862,-0.04443648622109322,-62
-0.03739805730729131,-0.0298697732083383,-77
-0.02646772988809971,-0.017029844287026207,-40
